customer_id,city,province,region,signup_date
CUST-00001,Quezon City,Metro Manila,NCR,2023-02-18
CUST-00002,Malolos,Bulacan,Central Luzon,2023-12-02
CUST-00003,Manila,Metro Manila,NCR,2023-05-13
CUST-00004,Cagayan de Oro,Misamis Oriental,Northern Mindanao,2023-02-17
CUST-00005,Malolos,Bulacan,Central Luzon,2023-12-21
CUST-00006,Caloocan,Metro Manila,NCR,2023-06-27
CUST-00007,Malolos,Bulacan,Central Luzon,2023-12-04
CUST-00008,Quezon City,Metro Manila,NCR,2023-10-29
CUST-00009,Zamboanga City,Zamboanga del Sur,Zamboanga Peninsula,2023-07-08
CUST-00010,Santa Rosa,Laguna,Calabarzon,2023-09-04
CUST-00011,Iloilo City,Iloilo,Western Visayas,2023-12-01
CUST-00012,Quezon City,Metro Manila,NCR,2023-03-15
CUST-00013,Santa Rosa,Laguna,Calabarzon,2023-10-19
CUST-00014,Lipa,Batangas,Calabarzon,2023-02-18
CUST-00015,Cagayan de Oro,Misamis Oriental,Northern Mindanao,2023-10-29
CUST-00016,Malolos,Bulacan,Central Luzon,2023-06-26
CUST-00017,Santa Rosa,Laguna,Calabarzon,2023-04-11
CUST-00018,Taguig,Metro Manila,NCR,2023-07-10
CUST-00019,Caloocan,Metro Manila,NCR,2023-08-02
CUST-00020,Lipa,Batangas,Calabarzon,2023-04-02
CUST-00021,Bacoor,Cavite,Calabarzon,2023-12-28
CUST-00022,Quezon City,Metro Manila,NCR,2023-03-06
CUST-00023,Tacloban,Leyte,Eastern Visayas,2023-04-25
CUST-00024,Davao City,Davao del Sur,Davao Region,2023-03-28
CUST-00025,Manila,Metro Manila,NCR,2023-08-01
CUST-00026,Angeles,Pampanga,Central Luzon,2023-08-14
CUST-00027,Manila,Metro Manila,NCR,2023-06-07
CUST-00028,Cebu City,Cebu,Central Visayas,2023-05-12
CUST-00029,Pasig,Metro Manila,NCR,2023-01-29
CUST-00030,Cebu City,Cebu,Central Visayas,2023-02-23
CUST-00031,Mandaue,Cebu,Central Visayas,2023-12-13
CUST-00032,Iloilo City,Iloilo,Western Visayas,2023-11-07
CUST-00033,Manila,Metro Manila,NCR,2023-01-21
CUST-00034,Davao City,Davao del Sur,Davao Region,2023-08-13
CUST-00035,Taguig,Metro Manila,NCR,2023-06-04
CUST-00036,Quezon City,Metro Manila,NCR,2023-12-12
CUST-00037,Angeles,Pampanga,Central Luzon,2023-11-24
CUST-00038,Antipolo,Rizal,Calabarzon,2023-08-05
CUST-00039,Tacloban,Leyte,Eastern Visayas,2023-04-15
CUST-00040,Bacolod,Negros Occidental,Western Visayas,2023-03-26
CUST-00041,Pasig,Metro Manila,NCR,2023-02-09
CUST-00042,Zamboanga City,Zamboanga del Sur,Zamboanga Peninsula,2023-10-22
CUST-00043,Pasig,Metro Manila,NCR,2023-10-20
CUST-00044,Lipa,Batangas,Calabarzon,2023-06-18
CUST-00045,Taguig,Metro Manila,NCR,2023-06-16
