order_id,order_date,customer_id,payment_method,status,shipping_fee
ORD-017224,2025-07-04,CUST-09871,Credit Card,Returned,81
ORD-012341,2025-02-13,CUST-08710,ShopeePay,Completed,139
ORD-006054,2024-08-13,CUST-01519,COD,Cancelled,57
ORD-008925,2024-11-11,CUST-07254,Credit Card,Completed,116
ORD-002131,2024-03-23,CUST-02685,Unknown,Cancelled,117
ORD-022870,2025-11-20,CUST-10834,GCash,Returned,69
ORD-023012,2025-11-24,CUST-08269,GCash,Completed,96
ORD-023262,2025-11-30,CUST-00417,COD,Completed,79
ORD-006194,2024-08-17,CUST-03921,Bank Transfer,Completed,90
ORD-002148,2024-03-24,CUST-03352,GCash,Completed,117
ORD-008683,2024-11-05,CUST-08635,GCash,Completed,51
ORD-010001,2024-12-12,CUST-11199,Credit Card,Completed,103
ORD-007455,2024-09-27,CUST-09248,COD,Completed,57
ORD-021979,2025-10-31,CUST-03055,COD,Completed,89
ORD-006412,2024-08-25,CUST-03844,Credit Card,Completed,70
ORD-021111,2025-10-10,CUST-11536,GCash,Completed,91
ORD-000481,2024-01-19,CUST-08765,COD,Completed,143
ORD-013534,2025-03-19,CUST-09382,Maya,Completed,61
ORD-013580,2025-03-21,CUST-03772,GCash,Completed,72
ORD-003509,2024-05-12,CUST-07561,COD,Cancelled,80
ORD-015882,2025-05-27,CUST-04113,GCash,Completed,144
ORD-019878,2025-09-10,CUST-01766,GCash,Completed,64
ORD-014459,2025-04-17,CUST-09700,COD,Returned,79
ORD-004077,2024-06-02,CUST-00503,COD,Completed,152
ORD-019798,2025-09-09,CUST-00886,GCash,Completed,171
ORD-007161,2024-09-16,CUST-01232,GCash,Cancelled,62
ORD-012579,2025-02-20,CUST-08106,GCash,Completed,80
ORD-004074,2024-06-02,CUST-11233,ShopeePay,Completed,104
ORD-004148,2024-06-05,CUST-00002,Credit Card,Completed,83
ORD-000261,2024-01-11,CUST-01667,ShopeePay,Completed,162
ORD-001058,2024-02-11,CUST-09246,ShopeePay,Completed,170
ORD-003825,2024-05-25,CUST-02313,COD,Completed,171
ORD-008201,2024-10-19,CUST-02835,COD,Completed,60
ORD-021499,2025-10-19,CUST-06865,GCash,Completed,147
ORD-017120,2025-07-01,CUST-02145,GCash,Completed,142
ORD-001209,2024-02-16,CUST-09952,COD,Completed,141
ORD-014208,2025-04-10,CUST-04361,GCash,Cancelled,56
ORD-021223,2025-10-12,CUST-06299,Credit Card,Completed,53
ORD-012115,2025-02-06,CUST-01283,Credit Card,Completed,136
ORD-012241,2025-02-10,CUST-08944,COD,Completed,60
ORD-012680,2025-02-23,CUST-02955,Credit Card,Completed,135
ORD-000509,2024-01-21,CUST-01355,COD,Completed,114
ORD-008827,2024-11-09,CUST-02915,COD,Completed,134
ORD-007709,2024-10-05,CUST-02483,COD,Cancelled,173
ORD-007635,2024-10-03,CUST-09994,GCash,Completed,66
ORD-020154,2025-09-16,CUST-08909,GCash,Completed,146
ORD-016981,2025-06-28,CUST-03852,GCash,Returned,100
ORD-014372,2025-04-15,CUST-08830,GCash,Completed,83
ORD-023297,2025-12-01,CUST-06357,GCash,Completed,119
ORD-019564,2025-09-05,CUST-10629,GCash,Completed,138
ORD-012301,2025-02-12,CUST-05584,Credit Card,Completed,105
ORD-014451,2025-04-17,CUST-02708,GCash,Completed,84
ORD-024715,2025-12-26,CUST-05647,Credit Card,Returned,71
ORD-022410,2025-11-11,CUST-09175,GCash,Completed,54
ORD-001863,2024-03-14,CUST-03890,ShopeePay,Completed,99
ORD-004402,2024-06-15,CUST-00601,GCash,Completed,91
ORD-006002,2024-08-11,CUST-05532,COD,Cancelled,108
ORD-013618,2025-03-22,CUST-05188,Credit Card,Completed,85
ORD-015946,2025-05-29,CUST-02003,GCash,Completed,51
ORD-004576,2024-06-22,CUST-09964,GCash,Completed,61
ORD-014938,2025-05-01,CUST-07886,Maya,Returned,107
ORD-002697,2024-04-14,CUST-06526,GCash,Completed,113
ORD-018139,2025-07-29,CUST-01542,GCash,Returned,147
ORD-000138,2024-01-06,CUST-11563,COD,Returned,63
ORD-014328,2025-04-13,CUST-03415,COD,Completed,177
ORD-023177,2025-11-28,CUST-03619,GCash,Completed,50
ORD-013088,2025-03-07,CUST-02097,Unknown,Cancelled,125
ORD-021286,2025-10-13,CUST-07491,COD,Returned,143
ORD-015680,2025-05-22,CUST-05201,GCash,Completed,98
ORD-009818,2024-12-07,CUST-09252,GCash,Completed,49
ORD-009637,2024-12-03,CUST-10708,GCash,Completed,56
ORD-021965,2025-10-31,CUST-07075,ShopeePay,Completed,73
ORD-011601,2025-01-22,CUST-10837,Credit Card,Completed,100
ORD-002278,2024-03-29,CUST-01673,Unknown,Completed,103
ORD-020181,2025-09-17,CUST-08742,COD,Completed,95
ORD-011434,2025-01-16,CUST-09205,COD,Returned,91
ORD-019616,2025-09-06,CUST-08902,Maya,Completed,72
ORD-009342,2024-11-23,CUST-05493,GCash,Completed,105
ORD-007591,2024-10-01,CUST-10971,GCash,Completed,77
ORD-010453,2024-12-19,CUST-00782,Bank Transfer,Completed,69
ORD-020740,2025-10-02,CUST-07764,GCash,Completed,145
ORD-015201,2025-05-09,CUST-09161,GCash,Returned,102
ORD-010891,2024-12-30,CUST-05089,Credit Card,Completed,110
ORD-022722,2025-11-16,CUST-11283,GCash,Completed,56
ORD-010739,2024-12-27,CUST-11824,COD,Completed,93
ORD-019727,2025-09-08,CUST-04352,Bank Transfer,Completed,127
ORD-019535,2025-09-04,CUST-04405,Credit Card,Completed,119
ORD-018830,2025-08-16,CUST-10879,Credit Card,Completed,103
ORD-015417,2025-05-15,CUST-11164,GCash,Completed,103
ORD-007845,2024-10-10,CUST-01691,COD,Completed,79
ORD-002806,2024-04-18,CUST-00574,Credit Card,Completed,66
ORD-012633,2025-02-21,CUST-06584,COD,Cancelled,156
ORD-007449,2024-09-27,CUST-05799,GCash,Completed,115
ORD-019393,2025-08-31,CUST-09658,COD,Returned,103
ORD-019366,2025-08-31,CUST-07099,Credit Card,Cancelled,70
ORD-024997,2025-12-31,CUST-04947,ShopeePay,Cancelled,126
ORD-001740,2024-03-09,CUST-09278,Credit Card,Completed,88
ORD-008987,2024-11-11,CUST-00453,Maya,Completed,96
ORD-021849,2025-10-28,CUST-00638,COD,Completed,49
ORD-017378,2025-07-09,CUST-08755,ShopeePay,Completed,92
ORD-006741,2024-09-05,CUST-10783,GCash,Returned,110
ORD-016660,2025-06-19,CUST-03618,GCash,Completed,129
ORD-017292,2025-07-06,CUST-10614,Credit Card,Completed,126
ORD-016341,2025-06-10,CUST-07684,COD,Completed,93
ORD-022759,2025-11-17,CUST-08062,ShopeePay,Completed,128
ORD-013009,2025-03-05,CUST-05331,Maya,Returned,72
ORD-006025,2024-08-12,CUST-05639,Credit Card,Cancelled,84
ORD-000235,2024-01-10,CUST-10657,COD,Completed,170
ORD-000934,2024-02-05,CUST-07562,Credit Card,Completed,113
ORD-024092,2025-12-14,CUST-11698,Credit Card,Completed,79
ORD-022604,2025-11-14,CUST-06770,COD,Returned,59
ORD-006847,2024-09-08,CUST-05415,COD,Completed,114
ORD-022479,2025-11-11,CUST-09637,Maya,Completed,86
ORD-002465,2024-04-06,CUST-07969,Credit Card,Returned,56
ORD-005080,2024-07-11,CUST-10136,GCash,Completed,55
ORD-003491,2024-05-12,CUST-05803,COD,Completed,162
ORD-003853,2024-05-26,CUST-01810,COD,Completed,80
ORD-010817,2024-12-29,CUST-01381,COD,Completed,60
ORD-000722,2024-01-29,CUST-02806,COD,Cancelled,144
ORD-004902,2024-07-04,CUST-03961,Unknown,Returned,58
ORD-011272,2025-01-11,CUST-08367,Maya,Completed,111
ORD-009483,2024-11-28,CUST-08878,COD,Cancelled,103
ORD-020078,2025-09-14,CUST-01283,ShopeePay,Completed,145
ORD-020167,2025-09-17,CUST-04719,COD,Completed,53
ORD-009537,2024-11-30,CUST-10623,GCash,Cancelled,52
ORD-004324,2024-06-12,CUST-08306,COD,Completed,82
ORD-015006,2025-05-03,CUST-11886,Credit Card,Completed,54
ORD-012571,2025-02-19,CUST-00020,COD,Cancelled,94
ORD-013209,2025-03-10,CUST-03847,GCash,Completed,67
ORD-011568,2025-01-21,CUST-03515,COD,Completed,100
ORD-020010,2025-09-13,CUST-07510,COD,Cancelled,137
ORD-017464,2025-07-11,CUST-07399,COD,Completed,109
ORD-021364,2025-10-15,CUST-01148,GCash,Completed,64
ORD-005919,2024-08-09,CUST-06053,GCash,Completed,75
ORD-011990,2025-02-02,CUST-02436,COD,Completed,81
ORD-011214,2025-01-10,CUST-05883,GCash,Completed,139
ORD-003205,2024-05-02,CUST-04302,COD,Completed,75
ORD-004690,2024-06-27,CUST-03695,Credit Card,Cancelled,113
ORD-021999,2025-11-01,CUST-05010,GCash,Completed,49
ORD-022519,2025-11-12,CUST-01298,ShopeePay,Completed,119
ORD-022350,2025-11-10,CUST-11585,Maya,Completed,70
ORD-008791,2024-11-08,CUST-02899,GCash,Completed,56
ORD-004629,2024-06-24,CUST-01789,COD,Completed,125
ORD-017107,2025-07-01,CUST-03480,Unknown,Cancelled,59
ORD-012803,2025-02-27,CUST-09711,GCash,Cancelled,139
ORD-002356,2024-04-01,CUST-07507,GCash,Completed,76
ORD-008605,2024-11-03,CUST-10194,Bank Transfer,Completed,117
ORD-007038,2024-09-13,CUST-06990,COD,Cancelled,107
ORD-018372,2025-08-04,CUST-09466,GCash,Completed,79
ORD-012445,2025-02-15,CUST-09532,Maya,Completed,87
ORD-001304,2024-02-21,CUST-01519,ShopeePay,Completed,68
ORD-024768,2025-12-27,CUST-02118,COD,Returned,62
ORD-024387,2025-12-19,CUST-06432,Credit Card,Completed,55
ORD-023855,2025-12-12,CUST-11992,Credit Card,Completed,77
ORD-008806,2024-11-09,CUST-08954,ShopeePay,Completed,85
ORD-008901,2024-11-11,CUST-09641,GCash,Completed,131
ORD-004789,2024-06-30,CUST-09720,GCash,Completed,110
ORD-012980,2025-03-04,CUST-06272,Bank Transfer,Completed,136
ORD-018638,2025-08-11,CUST-09697,Bank Transfer,Cancelled,119
ORD-020302,2025-09-20,CUST-10013,COD,Completed,75
ORD-015953,2025-05-29,CUST-05405,GCash,Completed,92
ORD-016493,2025-06-14,CUST-01825,Maya,Completed,141
ORD-007256,2024-09-20,CUST-05315,GCash,Completed,102
ORD-023221,2025-11-29,CUST-09933,GCash,Completed,170
ORD-007523,2024-09-29,CUST-07305,COD,Completed,105
ORD-009878,2024-12-09,CUST-04243,GCash,Cancelled,62
ORD-005213,2024-07-15,CUST-05747,COD,Completed,59
ORD-023539,2025-12-06,CUST-05561,COD,Completed,128
ORD-000108,2024-01-05,CUST-04326,Maya,Completed,102
ORD-009446,2024-11-27,CUST-00519,Unknown,Completed,52
ORD-016598,2025-06-17,CUST-10013,ShopeePay,Completed,49
ORD-007771,2024-10-07,CUST-04266,Maya,Completed,86
ORD-013424,2025-03-16,CUST-10929,ShopeePay,Completed,56
ORD-020153,2025-09-16,CUST-10566,COD,Cancelled,71
ORD-020890,2025-10-05,CUST-00182,COD,Completed,53
ORD-022925,2025-11-22,CUST-04203,COD,Completed,49
ORD-013067,2025-03-06,CUST-01314,Bank Transfer,Completed,64
ORD-005809,2024-08-05,CUST-03206,COD,Cancelled,52
ORD-018403,2025-08-04,CUST-02754,GCash,Completed,73
ORD-009310,2024-11-22,CUST-00429,COD,Completed,73
ORD-002749,2024-04-16,CUST-00921,GCash,Completed,174
ORD-020507,2025-09-26,CUST-00901,Maya,Completed,136
ORD-003299,2024-05-05,CUST-02544,GCash,Completed,112
ORD-011649,2025-01-24,CUST-11985,Credit Card,Returned,110
ORD-021451,2025-10-18,CUST-10055,GCash,Completed,54
ORD-007877,2024-10-10,CUST-08274,COD,Completed,63
ORD-000325,2024-01-14,CUST-08880,GCash,Cancelled,114
ORD-024210,2025-12-16,CUST-05860,Credit Card,Completed,118
ORD-008296,2024-10-23,CUST-02806,COD,Cancelled,152
ORD-002046,2024-03-20,CUST-07513,ShopeePay,Completed,58
ORD-004105,2024-06-03,CUST-08159,COD,Completed,93
ORD-004526,2024-06-20,CUST-10322,Credit Card,Completed,64
ORD-012806,2025-02-27,CUST-00919,COD,Completed,56
ORD-003545,2024-05-14,CUST-06651,GCash,Completed,50
ORD-011730,2025-01-26,CUST-08784,ShopeePay,Completed,96
ORD-024064,2025-12-13,CUST-04303,GCash,Completed,65
ORD-004055,2024-06-01,CUST-03401,GCash,Completed,137
ORD-021782,2025-10-26,CUST-08490,COD,Completed,100
ORD-023454,2025-12-04,CUST-01577,COD,Cancelled,93
ORD-020589,2025-09-28,CUST-00497,Maya,Completed,122
ORD-011760,2025-01-27,CUST-07566,COD,Cancelled,49
ORD-021689,2025-10-24,CUST-08256,GCash,Completed,59
ORD-024130,2025-12-14,CUST-07195,GCash,Completed,112
ORD-019222,2025-08-27,CUST-03360,Credit Card,Completed,123
ORD-010290,2024-12-15,CUST-09953,COD,Completed,107
ORD-010056,2024-12-12,CUST-08491,ShopeePay,Completed,77
ORD-021819,2025-10-27,CUST-02419,GCash,Completed,133
ORD-012252,2025-02-10,CUST-00706,COD,Completed,131
ORD-012201,2025-02-09,CUST-10696,COD,Completed,95
ORD-016042,2025-06-01,CUST-01123,GCash,Completed,70
ORD-008396,2024-10-26,CUST-01889,GCash,Completed,64
ORD-011267,2025-01-11,CUST-10825,COD,Cancelled,86
ORD-010300,2024-12-15,CUST-06136,COD,Completed,111
ORD-001120,2024-02-13,CUST-03070,Maya,Completed,61
ORD-001738,2024-03-09,CUST-06058,Maya,Cancelled,146
ORD-004295,2024-06-11,CUST-05649,GCash,Completed,132
ORD-017253,2025-07-05,CUST-08896,GCash,Completed,112
ORD-002999,2024-04-24,CUST-01661,GCash,Completed,173
ORD-008999,2024-11-11,CUST-02539,GCash,Completed,173
ORD-021707,2025-10-24,CUST-11549,GCash,Completed,58
ORD-005154,2024-07-14,CUST-02201,GCash,Completed,97
ORD-020591,2025-09-28,CUST-00165,Bank Transfer,Completed,122
ORD-010731,2024-12-27,CUST-05456,Credit Card,Completed,147
ORD-022950,2025-11-22,CUST-04286,GCash,Completed,51
ORD-020342,2025-09-21,CUST-09668,GCash,Completed,91
ORD-012788,2025-02-26,CUST-05709,GCash,Cancelled,144
ORD-022047,2025-11-01,CUST-01867,ShopeePay,Returned,83
ORD-023077,2025-11-26,CUST-04402,GCash,Completed,80
ORD-001969,2024-03-17,CUST-02150,Maya,Completed,71
ORD-013099,2025-03-07,CUST-03664,COD,Cancelled,77
ORD-006027,2024-08-12,CUST-06030,ShopeePay,Cancelled,72
ORD-005000,2024-07-07,CUST-05101,GCash,Completed,63
ORD-020051,2025-09-14,CUST-03029,GCash,Completed,79
ORD-007518,2024-09-29,CUST-06077,COD,Completed,64
ORD-005271,2024-07-18,CUST-03866,Credit Card,Returned,53
ORD-009734,2024-12-05,CUST-05868,Maya,Completed,113
ORD-002487,2024-04-06,CUST-05088,COD,Completed,81
ORD-005489,2024-07-26,CUST-06698,ShopeePay,Completed,105
ORD-021099,2025-10-10,CUST-09415,COD,Completed,88
ORD-022195,2025-11-06,CUST-11911,COD,Completed,128
ORD-001161,2024-02-15,CUST-05799,GCash,Cancelled,101
ORD-009036,2024-11-13,CUST-01991,Credit Card,Completed,56
